Date,Workout Name,Exercise Name,Set Order,Weight,Weight Unit,Reps,RPE,Distance,Distance Unit,Seconds,Notes,Workout Notes,Workout Duration
2021-11-29 14:12:16,Bicep Day,Bicep Curl (Barbell),1,20,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Bicep Curl (Barbell),2,30,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Bicep Curl (Barbell),3,32.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Bicep Curl (Barbell),4,35,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Bicep Curl (Barbell),5,32.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Reverse Curl (Barbell),1,20,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Reverse Curl (Barbell),2,25,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Reverse Curl (Barbell),3,30,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Reverse Curl (Barbell),4,30,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Hammer Curl (Dumbbell),1,17.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Hammer Curl (Dumbbell),2,17.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Hammer Curl (Dumbbell),3,17.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Hammer Curl (Dumbbell),4,17.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Incline Curl (Dumbbell),1,12.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Incline Curl (Dumbbell),2,12.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Incline Curl (Dumbbell),3,12.5,lbs,10,,,,0,,,33m
2021-11-29 14:12:16,Bicep Day,Incline Curl (Dumbbell),4,15,lbs,10,,,,0,,,33m
2021-11-30 14:02:25,Back,Iso-Lateral Row (Machine),1,50,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Iso-Lateral Row (Machine),2,90,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Iso-Lateral Row (Machine),3,110,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Iso-Lateral Row (Machine),4,90,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Pull Up (Assisted),1,50,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Pull Up (Assisted),2,60,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Pull Up (Assisted),3,60,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Pull Up (Assisted),4,80,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Lat Pulldown (Machine),1,90,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Lat Pulldown (Machine),2,90,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Lat Pulldown (Machine),3,90,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Lat Pulldown (Machine),4,70,lbs,12,,,,0,,,32m
2021-11-30 14:02:25,Back,Face Pull (Cable),1,22.5,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Face Pull (Cable),2,32.5,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Face Pull (Cable),3,37.5,lbs,10,,,,0,,,32m
2021-11-30 14:02:25,Back,Face Pull (Cable),4,32.5,lbs,10,,,,0,,,32m
2021-12-01 14:13:27,Chest day,Incline Bench Press (Barbell),1,45,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Incline Bench Press (Barbell),2,105,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Incline Bench Press (Barbell),3,95,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Incline Bench Press (Barbell),4,75,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Incline Bench Press (Barbell),5,75,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Dip (Assisted),1,80,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Dip (Assisted),2,70,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Dip (Assisted),3,60,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Dip (Assisted),4,50,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Fly,1,30,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Fly,2,35,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Fly,3,35,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Chest Fly,4,35,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Push Up,1,0,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Push Up,2,0,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Push Up,3,0,lbs,10,,,,0,,,39m
2021-12-01 14:13:27,Chest day,Push Up,4,0,lbs,10,,,,0,,,39m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),1,45,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),2,65,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),3,85,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),4,75,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),5,75,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bench Press - Close Grip (Barbell),6,75,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension (Machine),1,40,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension (Machine),2,60,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension (Machine),3,70,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension (Machine),4,70,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Cable Kickback,1,7.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Cable Kickback,2,12.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Cable Kickback,3,7.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Cable Kickback,4,7.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension,1,17.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension,2,22.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension,3,22.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Triceps Extension,4,22.5,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bicep Curl (Barbell),1,40,lbs,10,,,,0,Bar=20lbs skeptical on prev attempt,,35m
2021-12-02 13:42:21,Triceps,Bicep Curl (Barbell),2,50,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bicep Curl (Barbell),3,40,lbs,10,,,,0,,,35m
2021-12-02 13:42:21,Triceps,Bicep Curl (Barbell),4,40,lbs,10,,,,0,,,35m
2021-12-02 17:40:14,Legs,Squat (Barbell),1,45,lbs,10,,,,0,,,1h 4m
2021-12-02 17:40:14,Legs,Squat (Barbell),2,95,lbs,10,,,,0,,,1h 4m
